,book_title,book_authors,book_desc,book_edition,book_isbn,genres
The Way of Kings,Brandon Sanderson,"From #1 New York Times bestselling author Brandon Sanderson, The Way of Kings, book one of The Stormlight Archive begins an incredible new saga of epic proportion.Roshar is a world of stone and storms. Uncanny tempests of incredible power sweep across the rocky terrain so frequently that they have shaped ecology and civilization alike. Animals hide in shells, trees pull in branches, and grass retracts into the soilless ground. Cities are built only where the topography offers shelter.It has been centuries since the fall of the ten consecrated orders known as the Knights Radiant, but their Shardblades and Shardplate remain: mystical swords and suits of armor that transform ordinary men into near-invincible warriors. Men trade kingdoms for Shardblades. Wars were fought for them, and won by them.One such war rages on a ruined landscape called the Shattered Plains. There, Kaladin, who traded his medical apprenticeship for a spear to protect his little brother, has been reduced to slavery. In a war that makes no sense, where ten armies fight separately against a single foe, he struggles to save his men and to fathom the leaders who consider them expendable.Brightlord Dalinar Kholin commands one of those other armies. Like his brother, the late king, he is fascinated by an ancient text called The Way of Kings. Troubled by over-powering visions of ancient times and the Knights Radiant, he has begun to doubt his own sanity.Across the ocean, an untried young woman named Shallan seeks to train under an eminent scholar and notorious heretic, Dalinar's niece, Jasnah. Though she genuinely loves learning, Shallan's motives are less than pure. As she plans a daring theft, her research for Jasnah hints at secrets of the Knights Radiant and the true cause of the war.The result of over ten years of planning, writing, and world-building, The Way of Kings is but the opening movement of the Stormlight Archive, a bold masterpiece in the making.Speak again the ancient oaths:Life before death.Strength before weakness.Journey before Destination.and return to men the Shards they once bore.The Knights Radiant must stand again.", ,9780765326355,Fantasy|Fiction|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Audiobook|Adult|Science Fiction Fantasy|Fantasy|Magic|Epic|Adventure
The Chronicles of Narnia,C.S. Lewis|Pauline Baynes,"Librarian note: An alternate cover for this edition can be found here: 2005.Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia.For the past fifty years, The Chronicles of Narnia have transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a land where magic meets reality, and the result is a fictional world whose scope has fascinated generations.This edition presents all seven books—unabridged—in one impressive volume. The books are presented here in chronlogical order, each chapter graced with an illustration by the original artist, Pauline Baynes. Deceptively simple and direct, The Chronicles of Narnia continue to captivate fans with adventures, characters, and truths that speak to readers of all ages, even fifty years after they were first published.",Reissue Edition,9780066238500,Fantasy|Classics|Fiction|Young Adult|Childrens|Christian|Adventure|Childrens|Middle Grade|Science Fiction Fantasy|Christian Fiction
The Eye of the World,Robert Jordan|Роберт Джордан,"The Wheel of Time turns and Ages come and pass, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. What was, what will be, and what is, may yet fall under the Shadow.Moiraine Damodred arrives in Emond’s Field on a quest to find the one prophesized to stand against The Dark One, a malicious entity sowing the seeds of chaos and destruction. When a vicious band of half-men, half beasts invade the village seeking their master’s enemy, Moiraine persuades Rand al’Thor and his friends to leave their home and enter a larger unimaginable world filled with dangers waiting in the shadows and in the light.", ,9780812511819,Fiction|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Fantasy|Science Fiction Fantasy|Adventure|Audiobook|Adult|Fantasy|Magic|Epic
The Final Empire,Brandon Sanderson,"What if the whole world were a dead, blasted wasteland?MistbornFor a thousand years the ash fell and no flowers bloomed. For a thousand years the Skaa slaved in misery and lived in fear. For a thousand years the Lord Ruler, the ""Sliver of Infinity,"" reigned with absolute power and ultimate terror, divinely invincible. Then, when hope was so long lost that not even its memory remained, a terribly scarred, heart-broken half-Skaa rediscovered it in the depths of the Lord Ruler's most hellish prison. Kelsier ""snapped"" and found in himself the powers of a Mistborn. A brilliant thief and natural leader, he turned his talents to the ultimate caper, with the Lord Ruler himself as the mark.Kelsier recruited the underworld's elite, the smartest and most trustworthy allomancers, each of whom shares one of his many powers, and all of whom relish a high-stakes challenge. Then Kelsier reveals his ultimate dream, not just the greatest heist in history, but the downfall of the divine despot.But even with the best criminal crew ever assembled, Kel's plan looks more like the ultimate long shot, until luck brings a ragged girl named Vin into his life. Like him, she's a half-Skaa orphan, but she's lived a much harsher life. Vin has learned to expect betrayal from everyone she meets. She will have to learn trust if Kel is to help her master powers of which she never dreamed.Brandon Sanderson, fantasy's newest master tale-spinner and author of the acclaimed debut Elantris, dares to turn a genre on its head by asking a simple question: What if the prophesied hero failed to defeat the Dark Lord? The answer will be found in the Misborn Trilogy, a saga of surprises that begins with the book in your hands. Fantasy will never be the same again.", , ,Fantasy|Fiction|Fantasy|High Fantasy|Fantasy|Epic Fantasy|Adult|Fantasy|Magic|Science Fiction Fantasy|Audiobook|Young Adult|Adventure
The Gunslinger,Stephen King,"In the first book of this brilliant series, Stephen King introduces readers to one of his most enigmatic heroes, Roland of Gilead, The Last Gunslinger. He is a haunting figure, a loner on a spellbinding journey into good and evil. In his desolate world, which frighteningly mirrors our own, Roland pursues The Man in Black, encounters an alluring woman named Alice, and begins a friendship with the Kid from Earth called Jake. Both grippingly realistic and eerily dreamlike, The Gunslinger leaves readers eagerly awaiting the next chapter.",Plume Revised Edition (USA/CAN), ,Fantasy|Fiction|Horror|Science Fiction|Westerns|Adventure|Audiobook|Science Fiction Fantasy|Thriller|Apocalyptic|Post Apocalyptic
Wizard's First Rule,Terry Goodkind,"In the aftermath of the brutal murder of his father, a mysterious woman, Kahlan Amnell, appears in Richard Cypher's forest sanctuary seeking help . . . and more. His world, his very beliefs, are shattered when ancient debts come due with thundering violence. In a dark age it takes courage to live, and more than mere courage to challenge those who hold dominion, Richard and Kahlan must take up that challenge or become the next victims. Beyond awaits a bewitching land where even the best of their hearts could betray them. Yet, Richard fears nothing so much as what secrets his sword might reveal about his own soul. Falling in love would destroy them—for reasons Richard can't imagine and Kahlan dare not say.In their darkest hour, hunted relentlessly, tormented by treachery and loss, Kahlan calls upon Richard to reach beyond his sword—to invoke within himself something more noble. Neither knows that the rules of battle have just changed . . . or that their time has run out.This is the beginning. One book. One Rule. Witness the birth of a legend.", ,9780765346520,Fantasy|Fiction|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Science Fiction Fantasy|Fantasy|Magic|Adventure|Romance|Adult|Epic
A Wizard of Earthsea,Ursula K. Le Guin,"Ged, the greatest sorcerer in all Earthsea, was called Sparrowhawk in his reckless youth. Hungry for power and knowledge, Sparrowhawk tampered with long-held secrets and loosed a terrible shadow upon the world. This is the tale of his testing, how he mastered the mighty words of power, tamed an ancient dragon, and crossed death's threshold to restore the balance.", ,9780553383041,Fantasy|Fiction|Young Adult|Classics|Science Fiction Fantasy|Fantasy|Magic|Fantasy|High Fantasy|Science Fiction|Adventure|Audiobook
Prince of Thorns,Mark  Lawrence,"Before the thorns taught me their sharp lessons and bled weakness from me I had but one brother, and I loved him well. But those days are gone and what is left of them lies in my mother's tomb. Now I have many brothers, quick with knife and sword, and as evil as you please. We ride this broken empire and loot its corpse. They say these are violent times, the end of days when the dead roam and monsters haunt the night. All that's true enough, but there's something worse out there, in the dark. Much worse.From being a privileged royal child, raised by a loving mother, Jorg Ancrath has become the Prince of Thorns, a charming, immoral boy leading a grim band of outlaws in a series of raids and atrocities. The world is in chaos: violence is rife, nightmares everywhere. Jorg has the ability to master the living and the dead, but there is still one thing that puts a chill in him. Returning to his father's castle Jorg must confront horrors from his childhood and carve himself a future with all hands turned against him.Mark Lawrence's debut novel tells a tale of blood and treachery, magic and brotherhood and paints a compelling and brutal, and sometimes beautiful, picture of an exceptional boy on his journey toward manhood and the throne.", ,9780007423293,Fantasy|Fiction|Fantasy|Dark Fantasy|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Adult|Young Adult|Dark|Apocalyptic|Post Apocalyptic|Science Fiction
The Dragonriders of Pern,Anne McCaffrey,"Alternate cover edition can be found here.Finally together in one volume, the first three books in the world's most beloved science fiction series, THE DRAGONRIDERS OF PERN, by Anne McCaffrey, one of the great science fiction writers of all time: DRAGONFLIGHT, DRAGONQUEST, THE WHITE DRAGON. Those who know these extraordinary tales will be able to re-visit with Lessa, F'lar, Ruth, Lord Jaxon, and all the others. And for those just discovering this magical place, there are incomparable tales of danger, deceit, and daring, just waiting to be explored..", ,9780785729198,Fantasy|Science Fiction|Fiction|Fantasy|Dragons|Science Fiction Fantasy|Young Adult|Adventure|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Science Fiction|Time Travel
The Warded Man,Peter V. Brett,"As darkness falls after sunset, the corelings rise—demons who possess supernatural powers and burn with a consuming hatred of humanity. For hundreds of years the demons have terrorized the night, slowly culling the human herd that shelters behind magical wards—symbols of power whose origins are lost in myth and whose protection is terrifyingly fragile. It was not always this way. Once, men and women battled the corelings on equal terms, but those days are gone. Night by night the demons grow stronger, while human numbers dwindle under their relentless assault. Now, with hope for the future fading, three young survivors of vicious demon attacks will dare the impossible, stepping beyond the crumbling safety of the wards to risk everything in a desperate quest to regain the secrets of the past. Together, they will stand against the night.",First Edition,9780345503800,Fantasy|Fiction|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Fantasy|Magic|Paranormal|Demons|Adventure|Fantasy|Dark Fantasy|Science Fiction Fantasy|Adult
Dragonlance Chronicles,Margaret Weis|Tracy Hickman,"More than three million readers have witnessed the return of the dragons...And now the books that began the best-selling 'dragonlance' saga are collected in their entirety in this special edition, along with all of the artwork from the trilogy. This splendid collector's edition is a must for the millions of readers who fell in love with the fantasy world of Krynn.", ,9780880386524,Fantasy|Dungeons and Dragons|Dragonlance|Fiction|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Science Fiction Fantasy|Fantasy|Dragons|Adventure|Role Playing Games|Dungeons and Dragons|Anthologies|Collections
Blood Song,Anthony Ryan,"“The Sixth Order wields the sword of justice and smites the enemies of the Faith and the Realm.”Vaelin Al Sorna was only a child of ten when his father left him at the iron gate of the Sixth Order. The Brothers of the Sixth Order are devoted to battle, and Vaelin will be trained and hardened to the austere, celibate, and dangerous life of a Warrior of the Faith. He has no family now save the Order.Vaelin’s father was Battle Lord to King Janus, ruler of the unified realm. Vaelin’s rage at being deprived of his birthright and dropped at the doorstep of the Sixth Order like a foundling knows no bounds. He cherishes the memory of his mother, and what he will come to learn of her at the Order will confound him. His father, too, has motives that Vaelin will come to understand. But one truth overpowers all the rest: Vaelin Al Sorna is destined for a future he has yet to comprehend. A future that will alter not only the realm, but the world.", , ,Fantasy|Fantasy|Epic Fantasy|Fiction|Fantasy|High Fantasy|Adventure|Fantasy|Magic|Adult|Audiobook|Young Adult|Science Fiction Fantasy
The Black Prism,Brent Weeks,"Guile is the Prism, the most powerful man in the world. He is high priest and emperor, a man whose power, wit, and charm are all that preserves a tenuous peace. Yet Prisms never last, and Guile knows exactly how long he has left to live.When Guile discovers he has a son, born in a far kingdom after the war that put him in power, he must decide how much he's willing to pay to protect a secret that could tear his world apart.", ,9780316075558,Fantasy|Fiction|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Fantasy|Magic|Adult|Audiobook|Science Fiction Fantasy|Adventure|Young Adult
The Sword of Shannara Trilogy,Terry Brooks|Darrell K. Sweet,"THE SWORD OF SHANNARA: Long ago, the world of Shea Ohmsford was torn apart by war. But the half-human, half-elfin, Shea now lives in peace - until the forbidding figure of Allanon appears, to reveal that the long dead Warlock Lord lives againTHE ELFSTONES OF SHANNARA: Ancient evil threatens the Elves and the Races of Man. For the Ellcrys, the tree of long-lost Elven magic, is dying - loosing the spell of Forbidding that locks the hordes of Demons away from Earth. Only one source has the power to stop it: the Elfstones of Shannara. THE WISHSONG OF SHANNARA: Evil stalks the Four Lands as the Ildatch, immemorial book of evil spells, has stirred to eldritch life. Once again Allanon, ancient Druid Protector of the Races, must seek the help of a descendant of Jerle Shannara.", ,9780345453754,Fantasy|Fiction|Fantasy|Epic Fantasy|Science Fiction Fantasy|Fantasy|High Fantasy|Adventure|Science Fiction|Fantasy|Magic|Epic|Novels
The Neverending Story,Michael Ende|Ralph Manheim|Roswitha Quadflieg,"This epic work of the imagination has captured the hearts of millions of readers worldwide since it was first published. Its special story within a story is an irresistible invitation for readers to become part of the book itself. The story begins with a lonely boy named Bastian and the strange book that draws him into the beautiful but doomed world of Fantastica. Only a human can save this enchanted place by giving its ruler, the Childlike Empress, a new name. But the journey to her tower leads through lands of dragons, giants, monsters, and magic, and once Bastian begins his quest, he may never return. As he is drawn deeper into Fantastica, he must find the courage to face unspeakable foes and the mysteries of his own heart. Readers, too, can travel to the wondrous, unforgettable world of Fantastica if they will just turn the page...", ,9780525457589,Fantasy|Classics|Fiction|Young Adult|Childrens|Adventure|European Literature|German Literature|Childrens|Middle Grade|Writing|Books About Books|Science Fiction Fantasy
Theft of Swords,Michael J. Sullivan,"Royce Melborn, a skilled thief, and his mercenary partner, Hadrian Blackwater, make a profitable living carrying out dangerous assignments for conspiring nobles-until they are hired to pilfer a famed sword. What appears to be just a simple job finds them framed for the murder of the king and trapped in a conspiracy that uncovers a plot far greater than the mere overthrow of a tiny kingdom.Can a self-serving thief and an idealistic swordsman survive long enough to unravel the first part of an ancient mystery that has toppled kings and destroyed empires?And so begins the first tale of treachery and adventure, sword fighting and magic, myth and legend.When author Michael J. Sullivan self-published the first books of his Riyria Revelations, they rapidly became ebook bestsellers. Now, Orbit is pleased to present the complete series for the first time in bookstores everywhere.", ,9780316187749,Fantasy|Fiction|Fantasy|Epic Fantasy|Adventure|Fantasy|High Fantasy|Audiobook|Adult|Fantasy|Magic|Science Fiction Fantasy|Young Adult
Alanna: The First Adventure,Tamora Pierce,"From now on I'm Alan of Trebond, the younger twin. I'll be a knight.And so young Alanna of Trebond begins the journey to knighthood. Though a girl, Alanna has always craved the adventure and daring allowed only for boys; her twin brother, Thom, yearns to learn the art of magic. So one day they decide to switch places: Thom heads for the convent to learn magic; Alanna, pretending to be a boy, is on her way to the castle of King Roald to begin her training as a page.  But the road to knighthood is not an easy one. As Alanna masters the skills necessary for battle, she must also learn to control her heart and to discern her enemies from her allies.Filled with swords and sorcery, adventure and intrigue, good and evil, Alanna's first adventure begins - one that will lead to the fulfillment of her dreams and the magical destiny that will make her a legend in her land.", ,9780689878558,Fantasy|Young Adult|Fiction|Adventure|Fantasy|Magic|Young Adult|Young Adult Fantasy|Childrens|Middle Grade|Fantasy|High Fantasy|Childrens|Young Adult|Teen
The Great Book of Amber,Roger Zelazny|Tim          White,"Alternate cover edition can be found  here Roger Zelazny's chronicles of Amber have earned their place as all-time classics of imaginative literature. Now, here are all ten novels, together in one magnificent omnibus volume. Witness the titanic battle for supremacy waged on Earth, in the Courts of Chaos, and on a magical world of mystery, adventure and romance.--back cover",US / CAN Edition,9780380809066,Fantasy|Fiction|Science Fiction|Science Fiction Fantasy|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Classics|Speculative Fiction|Epic|Fantasy|Urban Fantasy
Warbreaker,Brandon Sanderson,"From #1 New York Times bestselling author Brandon Sanderson, Warbreaker is the story of two sisters, who happen to be princesses, the God King one of them has to marry, the lesser god who doesn't like his job, and the immortal who's still trying to undo the mistakes he made hundreds of years ago.Their world is one in which those who die in glory return as gods to live confined to a pantheon in Hallandren's capital city and where a power known as BioChromatic magic is based on an essence known as breath that can only be collected one unit at a time from individual people.By using breath and drawing upon the color in everyday objects, all manner of miracles and mischief can be accomplished. It will take considerable quantities of each to resolve all the challenges facing Vivenna and Siri, princesses of Idris; Susebron the God King; Lightsong, reluctant god of bravery, and mysterious Vasher, the Warbreaker.",Draft version, ,Fantasy|Fiction|Fantasy|High Fantasy|Fantasy|Epic Fantasy|Adult|Audiobook|Fantasy|Magic|Romance|Science Fiction Fantasy|Adventure
The Once and Future King,T.H. White,"T.H White′s masterful retelling of the Arthurian legend is an abiding classic. Here all five volumes that make up the story are published in one volume, as White himself always wished. Exquisite comedy offsets the tragedy of Arthur′s personal doom as White brings to life the major British epic of all time with brilliance, grandeur, warmth and charm.", ,9780441627400,Fantasy|Classics|Fiction|Historical|Historical Fiction|Mythology|Arthurian|Fantasy|Mythology|Young Adult|Science Fiction Fantasy|Literature|Historical
